Item_name,ID,Category,URL,Image_file
VIHALS วีฮาลส์,2.0,table,https://www.ikea.com/th/th/p/vihals-table-white-white-s69578517/,table/table2.png
VOXLÖV วอกซ์เลิฟ,3.0,table,https://www.ikea.com/th/th/p/voxloev-dining-table-light-bamboo-60449266/,table/table3.png
SKOGSTA สกูกสต้า,4.0,table,https://www.ikea.com/th/th/p/skogsta-dining-table-acacia-black-40419265/,table/table4.png
DANDERYD ดันเดรีด,5.0,table,https://www.ikea.com/th/th/p/danderyd-dining-table-oak-veneer-white-30463857/,table/table5.png
LAGKAPTEN ลาคแคปเทียน / OLOV อูลอฟ,6.0,table,https://www.ikea.com/th/th/p/lagkapten-olov-desk-white-s79417171/,table/table6.png
HAUGA เฮากา,7.0,table,https://www.ikea.com/th/th/p/hauga-table-grey-birch-veneer-30579216/,table/table7.png
TONSTAD ทุนสตัด,8.0,table,https://www.ikea.com/th/th/p/tonstad-table-brown-stained-oak-veneer-80600060/,table/table8.png
MÖRBYLÅNGA เมอร์บีลองงา,9.0,table,https://www.ikea.com/th/th/p/moerbylanga-table-oak-veneer-brown-stained-80365802/,table/table9.png
DOCKSTA ดอคสต้า,10.0,table,https://www.ikea.com/th/th/p/docksta-table-white-white-s79324997/,table/table10.png
LISABO ลิซาโบ,11.0,table,https://www.ikea.com/th/th/p/lisabo-table-black-ash-veneer-80416496/,table/table11.png
NORRÅKER นูร์ร็อกเกร์,12.0,table,https://www.ikea.com/th/th/p/norraker-table-birch-70428980/,table/table12.png
NACKANÄS นักกาเนส,13.0,table,https://www.ikea.com/th/th/p/nackanaes-table-acacia-30518096/,table/table13.png
PINNTORP พินน์ทอร์ป,14.0,table,https://www.ikea.com/th/th/p/pinntorp-table-light-brown-stained-white-stained-10529468/,table/table14.png
NÄSINGE แนซิงเง,15.0,table,https://www.ikea.com/th/th/p/naesinge-table-white-50587507/,table/table15.png
ÅLHULT อัวล์ฮุลท์,16.0,table,https://www.ikea.com/th/th/p/alhult-table-beige-brown-50600764/,table/table16.png
STOCKHOLM 2025 สตอกโฮล์ม 2025,17.0,tabel,https://www.ikea.com/th/th/p/stockholm-2025-table-oak-veneer-oak-veneer-s39606588/,table/table17.png
VITTSJÖ วิทท์เชอ,18.0,table,https://www.ikea.com/th/th/p/vittsjoe-coffee-table-black-brown-glass-00213313/#content,table/table18.png
RELATERA เรลาเทียรา,19.0,table,https://www.ikea.com/th/th/p/relatera-desk-white-s99560083/,table/table19.png
